ID,size,
1,XXS以下,
2,XS(SS),
3,S,
4,M,
5,L,
6,XL(LL),
7,2XL(3L),
8,3XL(4L),
9,4XL(5L)以上,
10,FREE SIZE,
11,20cm以下,
12,20.5cm,
13,21cm,
14,21.5cm,
15,22cm,
16,22.5cm,
17,23cm,
18,23.5cm,
19,24cm,
20,24.5cm,
21,25cm,
22,25.5cm,
23,26cm,
24,26.5cm,
25,27cm,
26,27.5cm以上,
27,60cm,↓ベビーサイズ
28,70cm,
29,80cm,
30,90cm,
31,95cm,
32,100cm,↓キッズサイズ
33,110cm,
34,120cm,
35,130cm,
36,140cm,
37,150cm,
38,160cm,
39,10.5cm以下,↓キッズ靴
40,11cm・11.5cm,
41,12cm・12.5cm,
42,13cm・13.5cm,
43,14cm・14.5cm,
44,15cm・15.5cm,
45,16cm・16.5cm,
46,17cm以上,
47,～20インチ,↓家電・テレビ
48,20～26インチ,
49,26～32インチ,
50,32～37インチ,
51,37～40インチ,
52,40～42インチ,
53,42～46インチ,
54,46～52インチ,
55,52～60インチ,
56,60インチ～,